id,species,coverage,weight_henikoff,weight@0.80,weight@0.90
A0A670YRI6|eastern_brown_snake|PID:88.35%,eastern_brown_snake,0.9607843137254902,0.12851057687408596,0.010101010101010102,0.0196078431372549
A0A8C5BAB2|atlantic_cod|PID:94.68%,atlantic_cod,0.8496732026143791,0.04681657126710068,0.01,0.01818181818181818
A0AAD9BZW0|patagonian_toothfish|PID:89.69%,patagonian_toothfish,0.8496732026143791,0.06737649634545473,0.010101010101010102,0.02040816326530612
A0A8C5AY71|atlantic_cod|PID:95.74%,atlantic_cod,0.8235294117647058,0.03193993982357313,0.01,0.010869565217391304
F7E6L8|duckbill_platypus|PID:89.32%,duckbill_platypus,0.7516339869281046,0.019167359848404952,0.01,0.010869565217391304
A0A8B9X1W9|wild_yak|PID:91.26%,wild_yak,0.738562091503268,0.03210068132514378,0.01,0.011627906976744186
A0A2R9AFT8|pygmy_chimpanzee|PID:89.22%,pygmy_chimpanzee,0.7254901960784313,0.01452433277631688,0.01,0.03571428571428571
A0A2R9AEU9|pygmy_chimpanzee|PID:90.29%,pygmy_chimpanzee,0.7254901960784313,0.01252371988860722,0.01,0.01639344262295082
A0A8C4F2U9|european_seabass|PID:87.38%,european_seabass,0.7254901960784313,0.020849216984730013,0.01,0.013157894736842105
A0A1S2ZMA1|western_european_hedgehog|PID:90.29%,western_european_hedgehog,0.6993464052287581,0.006406909972992602,0.01,0.010638297872340425
A0A672S9Z2|dianchi_golden_line_fish|PID:89.22%,dianchi_golden_line_fish,0.6993464052287581,0.011855217257136489,0.01,0.017543859649122806
A0A7J8IKA1|egyptian_fruit_bat|PID:90.29%,egyptian_fruit_bat,0.6928104575163399,0.006290196620985132,0.01,0.010526315789473684
A0A7N4NV16|tasmanian_devil|PID:88.35%,tasmanian_devil,0.6928104575163399,0.008863067973239578,0.01,0.013888888888888888
A0A8C2X404|lumpsucker|PID:89.32%,lumpsucker,0.6928104575163399,0.008005711827837235,0.01,0.013157894736842105
A0A8C4MD47|donkey|PID:90.29%,donkey,0.6928104575163399,0.0064691570940632525,0.01,0.010526315789473684
A0A6P5JT33|koala|PID:94.17%,koala,0.6862745098039216,0.008104431185191026,0.01,0.0136986301369863
A0A7J5YH92|antarctic_cod|PID:90.29%,antarctic_cod,0.6862745098039216,0.011491403913871262,0.01,0.011363636363636364
A0A340XBX0|yangtze_river_dolphin|PID:90.29%,yangtze_river_dolphin,0.6862745098039216,0.005780548317219182,0.01,0.010526315789473684
A0A1S3G7X9|ord_s_kangaroo_rat|PID:90.29%,ord_s_kangaroo_rat,0.6862745098039216,0.006340772406855036,0.01,0.010526315789473684
A0A8D2ITG2|komodo_dragon|PID:88.24%,komodo_dragon,0.6797385620915033,0.006798148189375156,0.01,0.011764705882352941
A0A340XI92|yangtze_river_dolphin|PID:90.29%,yangtze_river_dolphin,0.6797385620915033,0.005728675716326973,0.01,0.010309278350515464
A0A2G9S639|american_bullfrog|PID:89.32%,american_bullfrog,0.6797385620915033,0.009860047770477163,0.01,0.018518518518518517
A0A6P6M0G3|goldfish|PID:91.26%,goldfish,0.6797385620915033,0.006720683461585795,0.01,0.010752688172043012
A0A2K5UT02|crab_eating_macaque|PID:99.02%,crab_eating_macaque,0.673202614379085,0.006831604427485355,0.01,0.011363636363636364
A0A2Y9SXP4|sperm_whale|PID:99.03%,sperm_whale,0.673202614379085,0.0056197792770928436,0.01,0.010101010101010102
H9G5D5|green_anole|PID:89.22%,green_anole,0.673202614379085,0.006146418500412597,0.01,0.011111111111111112
A0AAD8CS13|atlantic_sturgeon|PID:88.24%,atlantic_sturgeon,0.673202614379085,0.008543516988085236,0.01,0.010752688172043012
A0A9Y4TZR2|fish|PID:90.29%,fish,0.673202614379085,0.006148541392855934,0.01,0.011904761904761904
A0A3Q3GAP3|mangrove_killifish|PID:92.16%,mangrove_killifish,0.673202614379085,0.009825594137179323,0.01,0.012345679012345678
A0A9F2KWA3|burmese_python|PID:88.24%,burmese_python,0.673202614379085,0.0062897967006315105,0.01,0.011904761904761904
A0A7J7FGE5|south_central_black_rhinoceros|PID:99.03%,south_central_black_rhinoceros,0.673202614379085,0.00641692002881837,0.01,0.010309278350515464
A0A2K6G2Q1|coquerel_s_sifaka|PID:100.00%,coquerel_s_sifaka,0.673202614379085,0.005647985003827982,0.01,0.010309278350515464
A0AAA9RTM8|bovine|PID:99.03%,bovine,0.673202614379085,0.005762236048831074,0.01,0.010309278350515464
A0A6P6IX11|goldfish|PID:92.16%,goldfish,0.6666666666666666,0.005591864930806478,0.01,0.010526315789473684
A0A6P6N329|goldfish|PID:94.12%,goldfish,0.6666666666666666,0.005477613885803386,0.01,0.01020408163265306
A0A6P8SD18|gaboon_caecilian|PID:88.24%,gaboon_caecilian,0.6666666666666666,0.009085118133379352,0.01,0.017857142857142856
F7CS95|western_clawed_frog|PID:95.10%,western_clawed_frog,0.6666666666666666,0.005673197493319422,0.01,0.010309278350515464
NMDZ1|african_clawed_frog|PID:94.12%,african_clawed_frog,0.6666666666666666,0.005787448538322515,0.01,0.010638297872340425
A0A834BUC8|marine_medaka|PID:93.14%,marine_medaka,0.6666666666666666,0.005477613885803386,0.01,0.010416666666666666
A0A669BP57|nile_tilapia|PID:90.20%,nile_tilapia,0.6666666666666666,0.007290932505679661,0.01,0.012048192771084338
A0A3Q3B9P9|mangrove_killifish|PID:94.06%,mangrove_killifish,0.6601307189542484,0.005373868684018969,0.01,0.010101010101010102
A0A6J2QU89|frogmouth|PID:88.12%,frogmouth,0.6601307189542484,0.005515260786932522,0.01,0.010309278350515464
A0A2U9BU52|turbot|PID:91.09%,turbot,0.6601307189542484,0.005573856214416603,0.01,0.010869565217391304
A0A6P7YH55|amphibian|PID:88.12%,amphibian,0.6601307189542484,0.008473152765891523,0.01,0.0196078431372549
A0A674N6G1|japanese_pufferfish|PID:93.07%,japanese_pufferfish,0.6601307189542484,0.005488119729022061,0.01,0.010309278350515464
A0A6I9XGP9|reptile|PID:89.11%,reptile,0.6601307189542484,0.0059958519622423274,0.01,0.011363636363636364
A0A9Q0EEU4|fish|PID:91.09%,fish,0.6601307189542484,0.00748873261673172,0.01,0.011494252873563218
A0A665VYX8|live_sharksucker|PID:88.12%,live_sharksucker,0.6601307189542484,0.0067123482454648584,0.01,0.011494252873563218
A0A3P8VGN3|tongue_sole|PID:92.08%,tongue_sole,0.6601307189542484,0.00545960516941351,0.01,0.010309278350515464
A0A6P6K8F5|goldfish|PID:95.05%,goldfish,0.6601307189542484,0.005373868684018969,0.01,0.010101010101010102
A0A7N8XCT4|fish|PID:88.00%,fish,0.6535947712418301,0.006194919051565074,0.01,0.01098901098901099
A0A8J0TPH2|african_clawed_frog|PID:91.00%,african_clawed_frog,0.6535947712418301,0.005863761199514028,0.01,0.010309278350515464
A0A8C7WTV9|fish|PID:88.00%,fish,0.6535947712418301,0.005437598579516607,0.01,0.010416666666666666
A0A3Q4I9W9|fairy_cichlid|PID:89.00%,fairy_cichlid,0.6535947712418301,0.0062379187075678275,0.01,0.01098901098901099
A0AAD1T365|western_spadefoot_toad|PID:96.00%,western_spadefoot_toad,0.6535947712418301,0.005571704654468482,0.01,0.01020408163265306
A0A8J6EI00|puerto_rican_coqui|PID:93.00%,puerto_rican_coqui,0.6535947712418301,0.009294714326173417,0.01,0.012195121951219513
A0A8C5EJF3|blunt_snouted_clingfish|PID:90.00%,blunt_snouted_clingfish,0.6535947712418301,0.005375409524790238,0.01,0.01
A0A1S3PRN4|atlantic_salmon|PID:92.00%,atlantic_salmon,0.6535947712418301,0.006414016985788458,0.01,0.010416666666666666
A0A4W3J4J6|ghost_shark|PID:87.63%,ghost_shark,0.6470588235294118,0.01865023849292944,0.01,0.0136986301369863
A0A401T1R4|brownbanded_bambooshark|PID:87.63%,brownbanded_bambooshark,0.6470588235294118,0.01944975783823738,0.01,0.013888888888888888
A0A7N6C393|climbing_perch|PID:87.88%,climbing_perch,0.6470588235294118,0.006203877313232314,0.01,0.011904761904761904
A0A6G1PYJ9|fish|PID:88.89%,fish,0.6470588235294118,0.0054209252435155385,0.01,0.01098901098901099
A0A672HAF5|jewelled_blenny|PID:89.90%,jewelled_blenny,0.6470588235294118,0.0054209252435155385,0.01,0.01020408163265306
A0A6Q2XCK1|northern_pike|PID:89.90%,northern_pike,0.6470588235294118,0.0057518179497954595,0.01,0.010416666666666666
A0A9Q0IMK7|fish|PID:89.90%,fish,0.6470588235294118,0.0055570908208575865,0.01,0.01020408163265306
A0A8C3Q019|golden_pheasant|PID:89.90%,golden_pheasant,0.6470588235294118,0.0069411316203820805,0.01,0.011904761904761904
A0A667YQ01|fish|PID:88.89%,fish,0.6470588235294118,0.0055570908208575865,0.01,0.01098901098901099
A0A8M1HHT2|siamese_fighting_fish|PID:87.88%,siamese_fighting_fish,0.6470588235294118,0.006340042890574361,0.01,0.011904761904761904
A0AA47MAT5|benguela_hake|PID:88.89%,benguela_hake,0.6470588235294118,0.00879205484013533,0.01,0.011363636363636364
A0AAY4CB02|fish|PID:88.89%,fish,0.6470588235294118,0.005676691197509004,0.01,0.010526315789473684
A0A3P9N449|guppy|PID:88.89%,guppy,0.6470588235294118,0.005648176637900453,0.01,0.01098901098901099
A0A2I3HC39|northern_white_cheeked_gibbon|PID:98.96%,northern_white_cheeked_gibbon,0.6405228758169934,0.012363615211596977,0.01,0.014492753623188406
A0AAD7SUR9|fish|PID:88.78%,fish,0.6405228758169934,0.006507072594068182,0.01,0.011363636363636364
A0A3P9QC64|guppy|PID:89.80%,guppy,0.6405228758169934,0.005429987577789511,0.01,0.010309278350515464
A0A0P7UMP5|asian_bonytongue|PID:89.80%,asian_bonytongue,0.6405228758169934,0.005459114733005333,0.01,0.010416666666666666
A0A8C6YIG4|indian_cobra|PID:91.84%,indian_cobra,0.6405228758169934,0.0072918036230767815,0.01,0.011904761904761904
F1R366|zebrafish|PID:90.82%,zebrafish,0.6405228758169934,0.006117315025818851,0.01,0.01020408163265306
A0A6F9A562|fish|PID:88.78%,fish,0.6405228758169934,0.007437100026818272,0.01,0.011235955056179775
A0A667YIV4|fish|PID:90.82%,fish,0.6405228758169934,0.005315736532786419,0.01,0.01020408163265306
A0A8C8C3D3|chinook_salmon|PID:90.82%,chinook_salmon,0.6405228758169934,0.005436487139108612,0.01,0.01020408163265306
A0A8M2BJ28|zebrafish|PID:91.84%,zebrafish,0.6405228758169934,0.006117315025818851,0.01,0.01
W5LWF6|spotted_gar|PID:91.84%,spotted_gar,0.6405228758169934,0.0053586782377702995,0.01,0.01
A0A671P0S4|fish|PID:91.84%,fish,0.6405228758169934,0.005315736532786419,0.01,0.01
A0A8C5JNI5|dark_eyed_junco|PID:90.82%,dark_eyed_junco,0.6405228758169934,0.006921679395047502,0.01,0.011235955056179775
A0A9W7TCE8|cave_loach|PID:88.78%,cave_loach,0.6405228758169934,0.008664951597067252,0.01,0.011627906976744186
A0A7N6FAN3|climbing_perch|PID:89.69%,climbing_perch,0.6405228758169934,0.006032502548413913,0.01,0.011494252873563218
A0A8C1IWG6|common_carp|PID:90.82%,common_carp,0.6405228758169934,0.005429987577789511,0.01,0.010101010101010102
A0A8U0PAS4|lake_trout|PID:89.80%,lake_trout,0.6405228758169934,0.0055507381841117046,0.01,0.010309278350515464
A0A672SAR7|dianchi_golden_line_fish|PID:89.69%,dianchi_golden_line_fish,0.6405228758169934,0.005575688998621237,0.01,0.010416666666666666
A0A8X7WU04|senegal_bichir|PID:90.82%,senegal_bichir,0.6405228758169934,0.005420867292496668,0.01,0.010101010101010102
A0A673LP77|fish|PID:90.72%,fish,0.6339869281045751,0.005303357843937141,0.01,0.010101010101010102
A0A672S9Y3|dianchi_golden_line_fish|PID:90.53%,dianchi_golden_line_fish,0.6339869281045751,0.01177261221235117,0.01,0.011494252873563218
H2MGR1|japanese_rice_fish|PID:91.75%,japanese_rice_fish,0.6339869281045751,0.005446596957764491,0.01,0.01020408163265306
A0A852GD19|shorebird|PID:91.75%,shorebird,0.6339869281045751,0.006909300706198224,0.01,0.01098901098901099
A0A9Q1G8X4|kaup_s_arrowtooth_eel|PID:89.69%,kaup_s_arrowtooth_eel,0.6339869281045751,0.0059393380484402914,0.01,0.010869565217391304
A0A9D3LYX8|european_freshwater_eel|PID:90.72%,european_freshwater_eel,0.6339869281045751,0.0056150057007088305,0.01,0.010416666666666666
A0A9D3Q7S9|tarpon|PID:90.72%,tarpon,0.6339869281045751,0.005825087003437199,0.01,0.010416666666666666
A0A9Q1IP22|kaup_s_arrowtooth_eel|PID:90.72%,kaup_s_arrowtooth_eel,0.6339869281045751,0.006548712516768587,0.01,0.010416666666666666
A0A9D3M375|european_freshwater_eel|PID:90.72%,european_freshwater_eel,0.6339869281045751,0.006052338397822114,0.01,0.010416666666666666
A0A671MHF5|fish|PID:90.62%,fish,0.6274509803921569,0.007446695242692494,0.01,0.010309278350515464
